"Aspekt","Promptbedingung","Bedingung","N_Einzelbewertungen","Kodierung_1","Kodierung_2","Kodierung_3"
"Studiendesign","Reflexionsanweisung","yes",40,"0 (0.0%)","0 (0.0%)","40 (100.0%)"
"Studiendesign","Reflexionsanweisung","no",40,"18 (45.0%)","2 (5.0%)","20 (50.0%)"
"Studiendesign","Hypothesen","yes",40,"9 (22.5%)","1 (2.5%)","30 (75.0%)"
"Studiendesign","Hypothesen","no",40,"9 (22.5%)","1 (2.5%)","30 (75.0%)"
"Messinstrumente","Reflexionsanweisung","yes",40,"0 (0.0%)","36 (90.0%)","4 (10.0%)"
"Messinstrumente","Reflexionsanweisung","no",40,"20 (50.0%)","18 (45.0%)","2 (5.0%)"
"Messinstrumente","Hypothesen","yes",40,"10 (25.0%)","27 (67.5%)","3 (7.5%)"
"Messinstrumente","Hypothesen","no",40,"10 (25.0%)","27 (67.5%)","3 (7.5%)"
"Kontrollvariablen","Reflexionsanweisung","yes",40,"27 (67.5%)","11 (27.5%)","2 (5.0%)"
"Kontrollvariablen","Reflexionsanweisung","no",40,"27 (67.5%)","13 (32.5%)","0 (0.0%)"
"Kontrollvariablen","Hypothesen","yes",40,"27 (67.5%)","12 (30.0%)","1 (2.5%)"
"Kontrollvariablen","Hypothesen","no",40,"27 (67.5%)","12 (30.0%)","1 (2.5%)"
