"Aspekt","Bewertungsdimension","Promptbedingung","Bedingung","N_Einzelbewertungen","Kodierung_1","Kodierung_2","Kodierung_3"
"Studiendesign","Angemessenheit","Reflexionsanweisung","yes",20,"0 (0.0%)","0 (0.0%)","20 (100.0%)"
"Studiendesign","Angemessenheit","Reflexionsanweisung","no",20,"0 (0.0%)","0 (0.0%)","20 (100.0%)"
"Studiendesign","Angemessenheit","Hypothesen","yes",20,"0 (0.0%)","0 (0.0%)","20 (100.0%)"
"Studiendesign","Angemessenheit","Hypothesen","no",20,"0 (0.0%)","0 (0.0%)","20 (100.0%)"
"Studiendesign","Entscheidungshilfe","Reflexionsanweisung","yes",20,"0 (0.0%)","0 (0.0%)","20 (100.0%)"
"Studiendesign","Entscheidungshilfe","Reflexionsanweisung","no",20,"18 (90.0%)","2 (10.0%)","0 (0.0%)"
"Studiendesign","Entscheidungshilfe","Hypothesen","yes",20,"9 (45.0%)","1 (5.0%)","10 (50.0%)"
"Studiendesign","Entscheidungshilfe","Hypothesen","no",20,"9 (45.0%)","1 (5.0%)","10 (50.0%)"
"Messinstrumente","Angemessenheit","Reflexionsanweisung","yes",20,"0 (0.0%)","19 (95.0%)","1 (5.0%)"
"Messinstrumente","Angemessenheit","Reflexionsanweisung","no",20,"0 (0.0%)","18 (90.0%)","2 (10.0%)"
"Messinstrumente","Angemessenheit","Hypothesen","yes",20,"0 (0.0%)","19 (95.0%)","1 (5.0%)"
"Messinstrumente","Angemessenheit","Hypothesen","no",20,"0 (0.0%)","18 (90.0%)","2 (10.0%)"
"Messinstrumente","Entscheidungshilfe","Reflexionsanweisung","yes",20,"0 (0.0%)","17 (85.0%)","3 (15.0%)"
"Messinstrumente","Entscheidungshilfe","Reflexionsanweisung","no",20,"20 (100.0%)","0 (0.0%)","0 (0.0%)"
"Messinstrumente","Entscheidungshilfe","Hypothesen","yes",20,"10 (50.0%)","8 (40.0%)","2 (10.0%)"
"Messinstrumente","Entscheidungshilfe","Hypothesen","no",20,"10 (50.0%)","9 (45.0%)","1 (5.0%)"
"Kontrollvariablen","Angemessenheit","Reflexionsanweisung","yes",20,"16 (80.0%)","4 (20.0%)","0 (0.0%)"
"Kontrollvariablen","Angemessenheit","Reflexionsanweisung","no",20,"7 (35.0%)","13 (65.0%)","0 (0.0%)"
"Kontrollvariablen","Angemessenheit","Hypothesen","yes",20,"11 (55.0%)","9 (45.0%)","0 (0.0%)"
"Kontrollvariablen","Angemessenheit","Hypothesen","no",20,"12 (60.0%)","8 (40.0%)","0 (0.0%)"
"Kontrollvariablen","Entscheidungshilfe","Reflexionsanweisung","yes",20,"11 (55.0%)","7 (35.0%)","2 (10.0%)"
"Kontrollvariablen","Entscheidungshilfe","Reflexionsanweisung","no",20,"20 (100.0%)","0 (0.0%)","0 (0.0%)"
"Kontrollvariablen","Entscheidungshilfe","Hypothesen","yes",20,"16 (80.0%)","3 (15.0%)","1 (5.0%)"
"Kontrollvariablen","Entscheidungshilfe","Hypothesen","no",20,"15 (75.0%)","4 (20.0%)","1 (5.0%)"
