"Aspekt","Bewertungsdimension","Promptbedingung","Bedingung","N","Mittelwert","Median","Standardabweichung","Minimum","Maximum","MW_Diff_yes_minus_no"
"Studiendesign","Angemessenheit","Reflexionsanweisung","yes",20,3,3,0,3,3,0
"Studiendesign","Angemessenheit","Reflexionsanweisung","no",20,3,3,0,3,3,0
"Studiendesign","Angemessenheit","Hypothesen","yes",20,3,3,0,3,3,0
"Studiendesign","Angemessenheit","Hypothesen","no",20,3,3,0,3,3,0
"Studiendesign","Entscheidungshilfe","Reflexionsanweisung","yes",20,3,3,0,3,3,1.9
"Studiendesign","Entscheidungshilfe","Reflexionsanweisung","no",20,1.1,1,0.307793505625546,1,2,1.9
"Studiendesign","Entscheidungshilfe","Hypothesen","yes",20,2.05,2.5,0.998683343734455,1,3,0
"Studiendesign","Entscheidungshilfe","Hypothesen","no",20,2.05,2.5,0.998683343734455,1,3,0
"Messinstrumente","Angemessenheit","Reflexionsanweisung","yes",20,2.05,2,0.223606797749979,2,3,-0.0500000000000003
"Messinstrumente","Angemessenheit","Reflexionsanweisung","no",20,2.1,2,0.307793505625546,2,3,-0.0500000000000003
"Messinstrumente","Angemessenheit","Hypothesen","yes",20,2.05,2,0.223606797749979,2,3,-0.0500000000000003
"Messinstrumente","Angemessenheit","Hypothesen","no",20,2.1,2,0.307793505625546,2,3,-0.0500000000000003
"Messinstrumente","Entscheidungshilfe","Reflexionsanweisung","yes",20,2.15,2,0.366347548532523,2,3,1.15
"Messinstrumente","Entscheidungshilfe","Reflexionsanweisung","no",20,1,1,0,1,1,1.15
"Messinstrumente","Entscheidungshilfe","Hypothesen","yes",20,1.6,1.5,0.680557047378721,1,3,0.05
"Messinstrumente","Entscheidungshilfe","Hypothesen","no",20,1.55,1.5,0.604805318829299,1,3,0.05
"Kontrollvariablen","Angemessenheit","Reflexionsanweisung","yes",20,1.2,1,0.410391340834062,1,2,-0.45
"Kontrollvariablen","Angemessenheit","Reflexionsanweisung","no",20,1.65,2,0.489360484929593,1,2,-0.45
"Kontrollvariablen","Angemessenheit","Hypothesen","yes",20,1.45,1,0.51041778553404,1,2,0.05
"Kontrollvariablen","Angemessenheit","Hypothesen","no",20,1.4,1,0.502624689950035,1,2,0.05
"Kontrollvariablen","Entscheidungshilfe","Reflexionsanweisung","yes",20,1.55,1,0.68633274115326,1,3,0.55
"Kontrollvariablen","Entscheidungshilfe","Reflexionsanweisung","no",20,1,1,0,1,1,0.55
"Kontrollvariablen","Entscheidungshilfe","Hypothesen","yes",20,1.25,1,0.550119604220181,1,3,-0.05
"Kontrollvariablen","Entscheidungshilfe","Hypothesen","no",20,1.3,1,0.571240570577479,1,3,-0.05
